T,hard sphere,square well,lennard jones
443,4.935218096479841e+25,1.4127574663143766e+25,4.557932528105578e+24
444,4.935218096479841e+25,1.4217726890570915e+25,4.6354543979660606e+24
445,4.935218096479841e+25,1.430742112460706e+25,4.712575096086437e+24
446,4.935218096479841e+25,1.4396660831118968e+25,4.789297556610768e+24
447,4.935218096479841e+25,1.448544944122809e+25,4.86562468549822e+24
448,4.935218096479841e+25,1.4573790351743465e+25,4.94155936085936e+24
449,4.935218096479841e+25,1.466168692558798e+25,5.01710443328741e+24
450,4.935218096479841e+25,1.4749142492218473e+25,5.092262726184698e+24
451,4.935218096479841e+25,1.4836160348039439e+25,5.167037036085003e+24
452,4.935218096479841e+25,1.4922743756810836e+25,5.241430132970516e+24
453,4.935218096479841e+25,1.500889595004966e+25,5.315444760585173e+24
454,4.935218096479841e+25,1.509462012742592e+25,5.389083636743007e+24
455,4.935218096479841e+25,1.5179919457152473e+25,5.462349453632436e+24
456,4.935218096479841e+25,1.526479707636943e+25,5.535244878115955e+24
457,4.935218096479841e+25,1.5349256091522848e+25,5.607772552026387e+24
458,4.935218096479841e+25,1.5433299578737923e+25,5.679935092457965e+24
459,4.935218096479841e+25,1.5516930584186706e+25,5.751735092054207e+24
460,4.935218096479841e+25,1.5600152124450706e+25,5.823175119291374e+24
461,4.935218096479841e+25,1.5682967186877895e+25,5.894257718758165e+24
462,4.935218096479841e+25,1.576537872993503e+25,5.964985411431408e+24
463,4.935218096479841e+25,1.5847389683554474e+25,6.035360694948126e+24
464,4.935218096479841e+25,1.5929002949476344e+25,6.10538604387365e+24
465,4.935218096479841e+25,1.6010221401585613e+25,6.175063909966319e+24
466,4.935218096479841e+25,1.6091047886244434e+25,6.244396722438155e+24
467,4.935218096479841e+25,1.6171485222619788e+25,6.313386888212519e+24
468,4.935218096479841e+25,1.625153620300637e+25,6.382036792177615e+24
469,4.935218096479841e+25,1.6331203593145014e+25,6.450348797437244e+24
